"estado","data","casos"
"AM","2020-03-13","1"
"AM","2020-03-14","1"
"AM","2020-03-15","1"
"AM","2020-03-16","1"
"AM","2020-03-17","1"
"AM","2020-03-18","2"
"AM","2020-03-19","3"
"AM","2020-03-20","7"
"AM","2020-03-21","11"
"AM","2020-03-22","26"
"AM","2020-03-23","32"
"AM","2020-03-24","47"
"AM","2020-03-25","54"
"AM","2020-03-26","67"
"AM","2020-03-27","81"
"AM","2020-03-28","111"
"AM","2020-03-29","140"
"AM","2020-03-30","151"
"AM","2020-03-31","175"
"AM","2020-04-01","200"
"AM","2020-04-02","229"
"AM","2020-04-03","260"
"AM","2020-04-04","311"
"AM","2020-04-05","417"
"AM","2020-04-06","532"
"AM","2020-04-07","636"
"AM","2020-04-08","804"
"AM","2020-04-09","899"
"AM","2020-04-10","981"
"AM","2020-04-11","1050"
"AM","2020-04-12","1206"
"AM","2020-04-13","1275"
"AM","2020-04-14","1484"
"AM","2020-04-15","1554"
"AM","2020-04-16","1719"
"AM","2020-04-17","1809"
"AM","2020-04-18","1897"
"AM","2020-04-19","2044"
"AM","2020-04-20","2160"
"AM","2020-04-21","2270"
"AM","2020-04-22","2479"
"AM","2020-04-23","2888"
"AM","2020-04-24","3194"
"AM","2020-04-25","3635"
"AM","2020-04-26","3833"
"AM","2020-04-27","3928"
"AM","2020-04-28","4337"
"AM","2020-04-29","4801"
"AM","2020-04-30","5254"
"AM","2020-05-01","5723"
"AM","2020-05-02","6062"
"AM","2020-05-03","6683"
"AM","2020-05-04","7242"
"AM","2020-05-05","8109"
"AM","2020-05-06","9243"
"AM","2020-05-07","10099"
"AM","2020-05-08","10727"
"AM","2020-05-09","11925"
"AM","2020-05-10","12599"
"AM","2020-05-11","12919"
"AM","2020-05-12","14168"
"AM","2020-05-13","15816"
"AM","2020-05-14","17181"
"AM","2020-05-15","18392"
"AM","2020-05-16","19677"
"AM","2020-05-17","20328"
"AM","2020-05-18","20913"
"AM","2020-05-19","22132"
"AM","2020-05-20","23704"
"AM","2020-05-21","25367"
"AM","2020-05-22","27038"
"AM","2020-05-23","28802"
"AM","2020-05-24","29867"
"AM","2020-05-25","30282"
"AM","2020-05-26","31949"
"AM","2020-05-27","33508"
"AM","2020-05-28","36146"
"AM","2020-05-29","38909"
"AM","2020-05-30","40560"
"AM","2020-05-31","41378"
"AM","2020-06-01","41774"
"AM","2020-06-02","43195"
"AM","2020-06-03","44347"
"AM","2020-06-04","46473"
"AM","2020-06-05","47666"
"AM","2020-06-06","48785"
"AM","2020-06-07","49269"
"AM","2020-06-08","49811"
"AM","2020-06-09","51234"
"AM","2020-06-10","52849"
"AM","2020-06-11","53989"
"AM","2020-06-12","55111"
"AM","2020-06-13","56026"
"AM","2020-06-14","56506"
"AM","2020-06-15","56777"
"AM","2020-06-16","58018"
"AM","2020-06-17","59547"
"AM","2020-06-18","60736"
"AM","2020-06-19","61683"
"AM","2020-06-20","62902"
"AM","2020-06-21","63410"
"AM","2020-06-22","63731"
"AM","2020-06-23","65073"
"AM","2020-06-24","66764"
"AM","2020-06-25","67267"
"AM","2020-06-26","68220"
"AM","2020-06-27","69022"
"AM","2020-06-28","69649"
"AM","2020-06-29","69893"
"AM","2020-06-30","70823"
"AM","2020-07-01","72284"
"AM","2020-07-02","73530"
"AM","2020-07-03","74537"
"AM","2020-07-04","75945"
"AM","2020-07-05","76014"
"AM","2020-07-06","76424"
"AM","2020-07-07","79167"
"AM","2020-07-08","80082"
"AM","2020-07-09","81318"
"AM","2020-07-10","82507"
"AM","2020-07-11","83230"
"AM","2020-07-12","83526"
"AM","2020-07-13","84412"
"AM","2020-07-14","85641"
"AM","2020-07-15","86944"
"AM","2020-07-16","88025"
"AM","2020-07-17","88822"
"AM","2020-07-18","90534"
"AM","2020-07-19","90913"
"AM","2020-07-20","91389"
"AM","2020-07-21","92164"
"AM","2020-07-22","92721"
"AM","2020-07-23","94219"
"AM","2020-07-24","95424"
"AM","2020-07-25","96094"
"AM","2020-07-26","96463"
"AM","2020-07-27","97079"
"AM","2020-07-28","98118"
"AM","2020-07-29","99093"
"AM","2020-07-30","100140"
"AM","2020-07-31","100940"
"AM","2020-08-01","101777"
"AM","2020-08-02","102124"
"AM","2020-08-03","102386"
"AM","2020-08-04","103269"
"AM","2020-08-05","104250"
"AM","2020-08-06","105054"
"AM","2020-08-07","105857"
"AM","2020-08-08","106428"
"AM","2020-08-09","106950"
"AM","2020-08-10","107197"
"AM","2020-08-11","108105"
"AM","2020-08-12","108920"
"AM","2020-08-13","109802"
"AM","2020-08-14","110777"
"AM","2020-08-15","111241"
"AM","2020-08-16","111912"
"AM","2020-08-17","112263"
"AM","2020-08-18","112881"
"AM","2020-08-19","113592"
"AM","2020-08-20","114335"
"AM","2020-08-21","114792"
"AM","2020-08-22","115369"
"AM","2020-08-23","115615"
"AM","2020-08-24","115792"
"AM","2020-08-25","116579"
"AM","2020-08-26","117412"
"AM","2020-08-27","118083"
"AM","2020-08-28","118844"
"AM","2020-08-29","119859"
"AM","2020-08-30","120060"
"AM","2020-08-31","120296"
"AM","2020-09-01","120919"
"AM","2020-09-02","121793"
"AM","2020-09-03","122520"
"AM","2020-09-04","123187"
"AM","2020-09-05","123726"
"AM","2020-09-06","123811"
"AM","2020-09-07","123905"
"AM","2020-09-08","124223"
"AM","2020-09-09","124959"
"AM","2020-09-10","125660"
"AM","2020-09-11","126423"
"AM","2020-09-12","126939"
"AM","2020-09-13","127132"
"AM","2020-09-14","127407"
"AM","2020-09-15","128150"
"AM","2020-09-16","128851"
"AM","2020-09-17","129501"
"AM","2020-09-18","130359"
"AM","2020-09-19","131573"
"AM","2020-09-20","131757"
"AM","2020-09-21","131920"
"AM","2020-09-22","132687"
"AM","2020-09-23","133413"
"AM","2020-09-24","134289"
"AM","2020-09-25","135205"
"AM","2020-09-26","136169"
"AM","2020-09-27","136416"
"AM","2020-09-28","136708"
"AM","2020-09-29","137964"
"AM","2020-09-30","139326"
"AM","2020-10-01","140240"
"AM","2020-10-02","141199"
"AM","2020-10-03","142137"
"AM","2020-10-04","142382"
"AM","2020-10-05","142573"
"AM","2020-10-06","143571"
"AM","2020-10-07","144492"
"AM","2020-10-08","145367"
"AM","2020-10-09","146233"
"AM","2020-10-10","147038"
"AM","2020-10-11","147457"
"AM","2020-10-12","147465"
"AM","2020-10-13","147864"
"AM","2020-10-14","148518"
"AM","2020-10-15","149366"
"AM","2020-10-16","149784"
"AM","2020-10-17","151186"
"AM","2020-10-18","151597"
"AM","2020-10-19","151858"
"AM","2020-10-20","152796"
"AM","2020-10-21","154465"
"AM","2020-10-22","155230"
"AM","2020-10-23","156196"
"AM","2020-10-24","156975"
"AM","2020-10-25","157324"
"AM","2020-10-26","157668"
"AM","2020-10-27","158718"
"AM","2020-10-28","159583"
"AM","2020-10-29","160596"
"AM","2020-10-30","161434"
"AM","2020-10-31","161683"
